chrom,start,end,disruption
chr1,82531384,82610846,-4.1224454128584975
chr1,205871773,205951549,-1.8970266900269748
chr1,126261004,126299264,-5.491246618904992
chr1,204712900,204736648,-3.1223274522627955
chr1,18952977,19023920,-3.2601673444052075
chr1,202219409,202297546,-2.134795552159966
chr1,113523617,113537396,-3.5409992794430893
chr1,33805930,33895305,-4.35662414368878
chr1,90950846,90985614,-2.9282002130824956
chr1,10637594,10639280,-5.68543934784901
chr1,183283425,183317791,-2.4329285707972956
chr1,78307275,78351618,-2.7454228504156992
chr1,247242546,247328997,-2.77112786356408
chr1,30855087,30910153,-2.286321304697798
chr1,55061892,55160677,-2.130037802469132
chr1,207561040,207616939,-2.5628899452789025
chr1,222030014,222034909,-5.405158718386835
chr1,114269034,114275862,-4.466273716035037
chr1,72469640,72558903,-4.512881793250257
chr1,184883060,184954105,-2.6705998695147333
chr1,232294698,232315490,-3.6888691286345803
chr1,75678870,75691775,-3.961658387213399
chr1,153024765,153048344,-3.6204525431899275
chr1,92886729,92916996,-3.076826702219891
chr1,37877203,37899493,-3.2003874223433337
chr1,173678830,173700135,-4.110276584231369
chr1,157875986,157946265,-1.3511935923736151
chr1,65306116,65363044,-2.379063357218707
chr1,89628066,89701833,-0.859114545064532
chr1,60941003,61027084,-1.7652203952661356
chr1,133136457,133177040,-4.476290203184022
chr1,202378311,202438948,-2.00989173369508
chr1,198430759,198484010,-2.581967575890423
chr1,246277947,246313272,-2.376589122210543
chr1,68929020,69024214,-6.468361529846918
chr1,196880713,196905067,-4.230162848727083
chr1,242522516,242601027,-4.796641628998589
chr1,47437369,47498977,-2.201313712512193
chr1,18196717,18262856,-2.1628672526008703
chr1,84454566,84547345,-1.8975288808440778
chr1,11946427,12029626,-1.7096736641949357
chr1,12742908,12840580,-2.5027978267036968
chr1,47280619,47343214,-1.7755481049440855
chr1,186018504,186051364,-3.1807918626230536
chr1,22236542,22248233,-3.6739128109712214
chr1,81400629,81414057,-4.414452235602709
chr1,18578660,18596370,-2.622074351449112
chr1,1810540,1877274,-1.7916911312475994
chr1,93421883,93424547,-5.051058921844122
chr1,26899443,26953157,-2.2087135509963938
chr1,95997942,96035595,-4.2554867326945995
chr1,79442695,79444495,-5.9549757059709805
chr1,134423930,134430842,-4.522455932646459
chr1,125100086,125104084,-4.968316114335298
chr1,120736403,120809230,-1.8026088516268228
chr1,224199539,224249704,-2.074358338249504
chr1,114928836,114975381,-2.583236356423079
chr1,27787090,27879342,-1.774446414097815
chr1,120680663,120742346,-2.0490474312619127
chr1,139806960,139845557,-5.527629826278041
chr1,117919196,117970644,-3.456921814315862
chr1,45903996,45986184,-1.7706320883860083
chr1,50095993,50123327,-2.373196506843434
chr1,117057273,117135389,-2.0425516959409666
chr1,162250905,162267850,-4.265471977603017
chr1,194339242,194424891,-5.298361864788009
chr1,4186251,4186426,-6.65469744634518
chr1,103377396,103381474,-5.40250340856574
chr1,215441465,215533418,-3.0128792467786827
chr1,32376572,32425899,-2.4014643356773018
chr1,34576743,34625575,-2.640040501252579
chr1,239838753,239841077,-5.395374580914168
chr1,161244565,161248943,-5.034928076143173
chr1,206494697,206572373,-1.9868294731399432
chr1,241872983,241907013,-2.67001723695331
chr1,201492670,201565065,-1.1617801435519093
chr1,114769737,114811543,-2.7905797061177555
chr1,32197454,32258709,-2.7344625041813058
chr1,198717429,198797973,-3.883227993072659
chr1,208268907,208270378,-5.941647323545118
chr1,241741591,241827833,-1.6802765579154706
chr1,90486927,90502813,-4.505814805210674
chr1,123942598,123981202,-3.2710609747117
chr1,125047507,125140829,-3.298834065452095
chr1,62093088,62143106,-1.5008107855337256
chr1,10532247,10534075,-5.858350289508288
chr1,167272713,167340396,-1.482741273655009
chr1,212278128,212316700,-2.3849014913083573
chr1,205750119,205844149,-2.0120710859504434
chr1,215001847,215010324,-5.002232003340523
chr1,208079900,208122457,-2.152978550251863
chr1,141184021,141259781,-4.75788275314763
chr1,138863904,138900973,-4.165326770225638
chr1,98788983,98861383,-3.518208662007201
chr1,71279764,71328811,-4.902077062755142
chr1,218703215,218759620,-5.2158103181768976
chr1,33636132,33717740,-5.561692264670902
chr1,63799426,63814736,-3.8566905737716155
chr1,234522883,234614281,-2.6859847635655094
chr1,145060747,145117438,-3.210131759079574
chr1,156308159,156344952,-1.6779491602118088
chr1,132344724,132428128,-4.341976556254833
chr1,81706939,81762082,-3.176393383726829
chr1,181143931,181224700,-1.291144004148018
chr1,43584658,43666026,-1.767247427312666
chr1,180313287,180409288,-0.6296103594599065
chr1,181741000,181800533,-2.2971224316991714
chr1,138798398,138878785,-3.86094401764686
chr1,101192992,101274580,-1.8219694492680831
chr1,4587791,4633841,-3.663836469852757
chr1,239308449,239400122,-2.8687900237728874
chr1,234822110,234880755,-1.6051845560119817
chr1,83788719,83851148,-1.6145850240652542
chr1,131139085,131172160,-5.098917619393843
chr1,116813752,116908039,-1.7183724531129556
chr1,106623476,106653919,-5.070910066818267
chr1,29125785,29153275,-2.5209961957180234
chr1,69151289,69246654,-5.5678711840601265
chr1,160443614,160473976,-3.402879725593982
chr1,150036207,150121631,-2.159116116404899
chr1,138453136,138510333,-5.272888219482724
chr1,26878027,26878882,-2.48835399232085
chr1,145458198,145528087,-1.9671675372907056
chr1,207840263,207899566,-1.4193041468750138
chr1,144546008,144594858,-2.3525852685642934
chr1,105488730,105571484,-4.780585268280437
chr1,188610279,188616172,-5.247905902014928
chr1,115753869,115828841,-1.9877509256236192
chr1,195719796,195814958,-3.116897643073352
chr1,46520579,46539749,-3.145757228197266
chr1,5648648,5661268,-5.029108031756482
chr1,57334835,57402256,-5.04707731450981
chr1,15454836,15530659,-1.4936307848772223
chr1,196468386,196484908,-4.415683941787021
chr1,66284909,66346478,-2.1011173449953473
chr1,140295020,140339161,-5.492259418683825
chr1,222271722,222303726,-2.3062807378625596
chr1,142672971,142694295,-4.68250294669901
chr1,98389359,98427762,-4.498078288546166
chr1,33244662,33286215,-2.0584991874000207
chr1,48406700,48494623,-2.522668297644726
chr1,148557302,148637253,-1.879600620840352
chr1,229491789,229516308,-3.3846393482898933
chr1,111245494,111339811,-1.4920045191432538
chr1,241879098,241881908,-4.966576913743039
chr1,143245891,143315924,-1.6901780561719129
chr1,40440109,40471485,-3.352863161120841
chr1,50936713,51007098,-2.229558365060516
chr1,108401279,108405353,-5.433331557387053
chr1,125441083,125533372,-4.444883952483676
chr1,2083284,2142528,-1.8005852066700867
chr1,56296027,56312025,-3.901405411848725
chr1,229637184,229700755,-3.351054561534966
chr1,78154925,78199639,-3.3280142372507933
chr1,138505537,138570017,-4.110003634835726
chr1,58129176,58162841,-4.812324942584663
chr1,153383946,153400054,-3.4932559028340657
chr1,163422218,163516442,-3.4080721937034784
chr1,26735185,26746107,-3.4472232746373366
chr1,73716250,73764248,-3.8323756044954216
chr1,236354150,236440384,-1.4827131081487706
chr1,132014664,132017973,-4.840370673831697
chr1,135665235,135707686,-4.680159865431301
chr1,92267175,92339396,-1.6065605646005492
chr1,74330790,74374295,-3.0936659211854978
chr1,212788467,212874257,-2.39762947969908
chr1,209258828,209286236,-3.5607017926942564
chr1,54495139,54554457,-2.7686895989148166
chr1,182758748,182857088,-1.6641729049357652
chr1,219429998,219444463,-4.007022503683414
chr1,86658334,86756953,-0.6493177088238948
chr1,131506914,131604852,-5.201463755238924
chr1,47363513,47400538,-2.341464403715414
chr1,136463116,136529656,-5.265700353067043
chr1,237396753,237421395,-3.8552479149401617
chr1,21641959,21644430,-4.652675237275748
chr1,52063642,52144816,-1.7121339300204639
chr1,241393037,241462776,-1.5962633330540275
chr1,201283545,201298632,-3.3956240820084296
chr1,191283309,191350830,-5.337294110751139
chr1,6512131,6513986,-4.662960968358188
chr1,184110254,184120191,-5.3182778489069005
chr1,152338545,152418946,-1.9144694832971532
chr1,207527479,207588294,-2.0425176060545707
chr1,121988891,122054335,-3.7308484679913696
chr1,92641389,92644648,-3.558466308846292
chr1,227215823,227220491,-5.54289104875419
chr1,135662469,135753301,-4.7807981551045104
chr1,183130668,183169503,-2.698015774363527
chr1,163441613,163467817,-4.5482875479978615
chr1,107705940,107787564,-1.1562067804638956
chr1,145401801,145421350,-3.598070788170698
chr1,29116177,29213623,-1.601691305478476
chr1,594384,619615,-3.325245359093922
chr1,105423728,105514652,-4.301299908211804
chr1,186721731,186760895,-2.413615158127489
chr1,218625585,218684538,-4.841330405985997
chr1,245873194,245933938,-2.1691277343528736
chr1,199632795,199674128,-4.055042521173341
chr1,25561148,25628418,-1.0882734405499708
chr1,47323384,47327646,-4.891432639025487
chr1,246350347,246353820,-4.003372215699077
chr1,152664257,152714981,-4.719285075861382
chr1,42715513,42735237,-2.9616923134151882
chr1,135541270,135588421,-4.5651820461593795
chr1,14350023,14401902,-4.300413824290471
chr1,63030314,63054660,-4.103895854481464
chr1,125478033,125511653,-5.628615463512311
chr1,220693856,220717648,-2.943967654507944
chr1,60967842,61038397,-2.265837382825939
chr1,223142817,223169217,-4.369667283582706
chr1,4914325,4915870,-6.2193086820144385
chr1,112563884,112644784,-1.7008195420782346
chr1,61155651,61239859,-3.0650230785523758
chr1,230295706,230316990,-1.688155088128458
chr1,169379406,169464716,-2.454308323198495
chr1,211893343,211899729,-4.936226018365624
chr1,28807680,28893217,-1.1285353725733984
chr1,17869039,17962451,-2.4838699358040452
chr1,153856209,153906645,-2.151096006192668
chr1,75478458,75575986,-2.8973133614148123
chr1,223080343,223142305,-1.190416093137602
chr1,82232920,82305675,-5.7129337965463085
chr1,124359282,124456817,-0.7022876298799606
chr1,59420452,59450458,-3.611683544774167
chr1,32685619,32736314,-1.7494193747489133
chr1,38290767,38318954,-4.722743549586569
chr1,142864938,142953947,-2.6048429970887113
chr1,70267293,70296345,-2.884906811141863
chr1,190765619,190802771,-6.109993773614464
chr1,151193347,151282572,-2.617416729665903
chr1,181070549,181145737,-1.0466673900989418
chr1,205093808,205132147,-2.677504259542161
chr1,49523966,49567183,-5.893372882391114
chr1,11386587,11409490,-2.8082748202316514
chr1,183358705,183415667,-2.041506390840846
chr1,178857629,178893695,-2.720329175743163
chr1,36222075,36273223,-2.6123542389389534
chr1,32496136,32554773,-2.0769370258806505
chr1,242861258,242877708,-3.9223899285200385
chr1,209070888,209164008,-1.9995737756044545
chr1,118702703,118711536,-4.668990949696318
chr1,99974943,100062462,-3.469218443162306
chr1,50319181,50357256,-1.407924366501428
chr1,82914269,82923268,-5.444638125858941
chr1,46897556,46992847,-1.1854583281967308
chr1,139051591,139085909,-4.262590581252705
chr1,88415633,88428496,-3.5692410815064317
chr1,142509588,142591423,-5.560984083092576
chr1,41786931,41841552,-2.8032535749371883
chr1,5596111,5625991,-3.5738890629710753
chr1,75152240,75187676,-3.166958814286301
chr1,62584952,62601097,-4.169990128572585
chr1,92562461,92626941,-2.0343523661921727
chr1,58020520,58063994,-4.468013808145041
chr1,223544042,223583234,-3.063435206203936
chr1,236357873,236437592,-1.3810323540532101
chr1,99040981,99055027,-4.435967989884157
chr1,66933936,66952069,-3.3044515981086398
chr1,18381249,18388711,-4.005003846129316
chr1,91921906,91981616,-1.689177838946971
chr1,159438247,159512752,-2.364595754700045
chr1,162134331,162229867,-3.0575600372536886
chr1,170506441,170531056,-3.1141474162871616
chr1,234392118,234476248,-2.649815684735885
chr1,184241624,184280480,-2.871983414251595
chr1,137357344,137391956,-4.616250918254996
chr1,208348514,208437171,-3.8883496736853265
chr1,2658651,2695309,-2.794429852855269
chr1,207839243,207852292,-3.111616409321521
chr1,209502897,209597885,-1.284323126458605
chr1,93395970,93471682,-1.5159263142341584
chr1,61855053,61881569,-3.974046830377912
chr1,62367073,62403868,-2.0582093002767183
chr1,212115828,212173077,-2.15234235794802
chr1,6498531,6564646,-2.472356710644924
chr1,170702068,170717886,-4.306297235523496
chr1,112780808,112809947,-2.8682103048051704
chr1,129154511,129210303,-5.747331705593465
chr1,149355967,149388246,-3.0993073331431207
chr1,247146584,247241899,-2.2073197044944246
chr1,241869110,241915126,-2.3805574898468307
chr1,158552380,158628043,-3.2824404548189974
chr1,32941491,33018299,-1.8815040888825236
chr1,40074703,40124143,-1.918851544928686
chr1,237442251,237480915,-3.0105929101588367
chr1,157348426,157404404,-2.022394651032807
chr1,6243102,6332797,-2.2334304556627362
chr1,21502654,21585036,-1.4953014698927607
chr1,234042454,234073843,-2.053026571948354
chr1,151539671,151610419,-2.4306218654175145
chr1,159442118,159512359,-2.2809856947223452
chr1,48302823,48310761,-5.190231861710882
chr1,6891084,6982669,-2.2114415817906883
chr1,37370017,37469300,-1.536747915332921
chr1,7292977,7303862,-3.9526042090695443
chr1,123584820,123653360,-2.7484989621204283
chr1,25228688,25242923,-4.181325127538492
chr1,106226365,106259542,-6.221556410520241
chr1,200198771,200273104,-1.436867227124205
chr1,162145148,162200400,-3.7684106644854234
chr1,12229546,12269994,-2.7170445628733515
chr1,232751488,232834586,-3.376743998581413
chr1,63955300,64036737,-1.6083016652502466
chr1,245181928,245183834,-4.226763859599964
chr1,15969921,16001564,-3.034554884306805
chr1,212190160,212288833,-1.4819578284930754
chr1,208675893,208757605,-4.838411875915369
chr1,78898694,78990476,-4.374847279038422
chr1,131424172,131461996,-4.51024560679952
chr1,97764309,97782898,-4.092474139718262
chr1,182913575,182916809,-4.9042672514881325
chr1,75663742,75753276,-3.2417858598892844
chr1,24686152,24703603,-2.5156363474147883
chr1,130224426,130225957,-4.851965229254641
chr1,31410510,31468586,-2.162309014995584
chr1,27189192,27288706,-1.496335955291923
chr1,239263484,239304037,-3.197295739008791
chr1,200446646,200504178,-1.5648503566130443
chr1,48542831,48609436,-2.959207618653155
chr1,222002530,222095947,-1.7416551127874305
chr1,237176896,237253426,-2.8893709481238132
chr1,15072707,15106655,-1.9232430650138952
chr1,166760295,166830723,-1.7474966722500644
chr1,24453137,24542035,-1.1939400912359253
chr1,227293090,227323840,-3.9518900385098195
chr1,243859048,243945618,-1.7036799935188773
chr1,15436100,15532296,-1.749325176340515
chr1,4647051,4660234,-3.915772954106282
chr1,8814845,8892329,-2.350449804509127
chr1,78729458,78775176,-3.88505025691733
chr1,128256841,128307773,-5.434540604713321
chr1,211709455,211784976,-2.4212618857753854
chr1,101280236,101311670,-2.7101546413675717
chr1,69313443,69377581,-3.9636546555975376
chr1,27767108,27789956,-3.288864390869224
chr1,40136211,40169469,-2.9488303158452887
chr1,140907378,140912019,-4.3889711541255885
chr1,178882206,178926390,-2.229961677539297
chr1,25782138,25783066,-5.256690602520605
chr1,15865990,15939609,-1.8565791791601025
chr1,191698979,191786780,-4.939308658823639
chr1,24489839,24534443,-1.5915036300396401
chr1,133909323,133959637,-4.830501072329021
chr1,237740963,237761901,-3.4029752262640454
chr1,114946605,114952814,-5.0432492763152155
chr1,239971727,240010975,-1.788633898023139
chr1,19901761,19911881,-3.967713927690815
chr1,39621164,39686839,-1.605827393562842
chr1,25414487,25472385,-1.351860232973196
chr1,205634509,205727679,-2.070709152685225
chr1,83464693,83503177,-2.8169258537437467
chr1,19693270,19721153,-2.646319868954096
chr1,201308488,201363818,-1.6885224901191362
chr1,127678315,127766117,-4.656071462665069
chr1,190271208,190301739,-4.321566413380679
chr1,83517292,83578554,-2.0797109435937764
chr1,51765994,51774068,-3.210467312534493
chr1,154873107,154891142,-3.1373972056852977
chr1,77918198,77978869,-1.6980139750208554
chr1,159846110,159866566,-2.8631407143661685
chr1,158009975,158013030,-5.757963793678795
chr1,36368696,36458333,-1.889796218363032
chr1,122899880,122991153,-1.9003275688914458
chr1,71545263,71605180,-5.2568235090080035
chr1,85729705,85743541,-5.36602351765426
chr1,133071097,133151378,-5.15031692244347
chr1,212782748,212860033,-2.404126357315752
chr1,120171061,120257831,-1.9907939270107018
chr1,189169786,189199788,-4.450272104079938
chr1,60386691,60471668,-3.341958929275239
chr1,74204794,74231190,-5.121710923001364
chr1,115272073,115278578,-4.824085287677726
chr1,238637841,238646834,-5.457231342105174
chr1,161993955,162029683,-2.381131628858298
chr1,54304465,54369960,-2.038271798134155
chr1,218492386,218575945,-3.859749055782229
chr1,154392242,154453139,-3.152325540754186
chr1,75960465,75979608,-4.690001665614995
chr1,40610997,40642503,-2.4700884223621165
chr1,221624559,221712835,-4.6336020711876635
chr1,108804317,108818881,-3.9621298615387857
chr1,94363540,94451292,-1.0255197513351804
chr1,238850696,238934357,-3.4252117825932964
chr1,229162908,229229022,-1.510077964496464
chr1,236192221,236221078,-2.322619639716374
chr1,173182556,173182872,-4.986899358104641
chr1,242802291,242897133,-1.9820750195976364
chr1,130507548,130568707,-5.601993267337179
chr1,173571604,173611183,-3.308238138280965
chr1,102778273,102800840,-4.960529346202263
chr1,236805532,236843769,-3.020816130422836
chr1,96935984,96951783,-5.504551152159172
chr1,49844109,49905538,-4.0066579574315035
chr1,152554617,152575825,-4.155290565033663
chr1,239620397,239683601,-1.815410360136166
chr1,102608168,102688177,-3.8283341282450114
chr1,155470255,155522481,-2.978039595321234
chr1,190768228,190835110,-6.034367674618259
chr1,85432276,85506345,-2.9193695391223096
chr1,239212102,239239196,-4.294640921046111
chr1,94524402,94541454,-3.676164972910286
chr1,240807342,240823827,-4.13213527387917
chr1,206886493,206959690,-2.898345020218386
chr1,140022298,140072601,-4.829013483865408
chr1,116402256,116448358,-3.11801559335527
chr1,207014871,207064065,-2.88735102977873
chr1,169159873,169218218,-2.1811220442516284
chr1,153293836,153318880,-3.0976655145730723
chr1,14478345,14538388,-3.2957299717914075
chr1,114422179,114520328,-2.8420239350249488
chr1,22056409,22074205,-2.894486524616161
chr1,137318120,137375843,-4.7521717038027615
chr1,93515890,93595263,-0.9442206674140683
chr1,185211226,185231044,-4.385149359944098
chr1,214730207,214789962,-4.053793457818728
chr1,130265161,130292711,-5.37248908716427
chr1,99086518,99106189,-4.3260938282188555
chr1,178825277,178885465,-2.235176696307974
chr1,192354027,192387543,-2.3073272314066657
chr1,161008087,161027334,-2.6384425976130665
chr1,207209644,207291787,-2.166781340506462
chr1,31256111,31324842,-2.051155512646201
chr1,6181111,6278305,-1.576790084455809
chr1,114891265,114928737,-2.8193702350718857
chr1,16426365,16445323,-2.800790077564907
chr1,19695319,19726978,-2.3266421088519187
chr1,122041100,122108317,-3.3119789828472466
chr1,204739158,204780982,-2.2815628229355305
chr1,17036630,17115573,-1.2707985740375136
chr1,135890846,135983193,-4.806618177264162
chr1,186988355,186993602,-4.827150422549358
chr1,155544956,155597567,-2.5500324940882697
chr1,163684249,163732249,-5.320363982477743
chr1,183668118,183740514,-1.945786574446763
chr1,125955418,125990345,-5.29591169661292
chr1,127022508,127046926,-4.5684138920815025
chr1,144066170,144068836,-5.337113080360794
chr1,124576095,124667129,-0.7729211405258054
chr1,188400465,188409077,-6.135220044384332
chr1,164553433,164586200,-3.5653086787516854
chr1,104861395,104956689,-5.7075269083546445
chr1,116962868,117032348,-1.7863992640384492
chr1,43209361,43211499,-5.478123556341439
chr1,185505002,185561100,-1.9588321461548892
chr1,157458681,157488668,-3.0284758190416956
chr1,9691930,9705160,-3.3955167125586865
chr1,180833787,180843936,-3.3945761624264654
chr1,83842671,83879373,-2.307555902825287
chr1,141072830,141081277,-4.696056222816807
chr1,103636877,103727677,-3.1207520626642644
chr1,90149617,90168949,-5.56072437965674
chr1,211823029,211868997,-2.432816200089798
chr1,217053725,217115028,-4.0986513265910585
chr1,53484547,53513558,-2.492295190216608
chr1,111490683,111512954,-3.0378242859030045
chr1,216904007,216963656,-4.33163582767416
chr1,108535886,108585626,-3.950328003536399
chr1,245290770,245369649,-2.7008044660306534
chr1,2581068,2626898,-2.529731817853264
chr1,183239155,183255500,-3.3848387449701054
chr1,47465732,47501711,-2.9693570407789323
chr1,34406894,34479379,-2.5028001980833112
chr1,53768649,53781045,-3.728282347520172
chr1,56216905,56281454,-2.8754714266233075
chr1,180570231,180636980,-2.218670108608404
chr1,146368566,146445468,-2.6001463387677317
chr1,149107911,149143623,-3.7055751035319178
chr1,145696565,145785385,-1.8127155827556676
chr1,227422247,227491795,-2.6756541553398954
chr1,233595442,233622555,-3.83545153529555
chr1,56407691,56410889,-4.2342849794904405
chr1,206214371,206274627,-2.2407536843037676
chr1,94748405,94772001,-2.4087791673540484
chr1,34367690,34405713,-3.609639031418169
chr1,156006063,156066250,-2.1084777284868825
chr1,233860974,233943227,-1.2416219261897745
chr1,205232474,205285205,-2.6756313469185886
chr1,239853022,239914417,-1.7886979666078342
chr1,4145084,4238691,-3.7281182850566936
chr1,11214844,11226646,-3.9975009618359834
chr1,136281897,136357322,-4.442348525365649
chr1,3534197,3535151,-5.167843842499771
chr1,202139149,202218339,-1.5331478122951834
chr1,99091916,99118899,-4.370239416941345
chr1,166939463,166962528,-2.7672655924912126
chr1,188718773,188791973,-5.498912232930574
chr1,48037307,48092202,-2.841254621260519
chr1,128313266,128386588,-5.16991390480132
chr1,78056002,78114876,-1.6061965396161175
chr1,232287050,232355090,-2.3602013533903405
chr1,166105395,166162107,-2.9834994249620816
chr1,204437665,204494541,-1.7900611642705118
chr1,173113646,173176206,-2.0731086709766893
chr1,100059019,100095149,-3.3095805749852585
chr1,23221295,23318741,-2.934352879436363
chr1,222330706,222395764,-1.548496256055892
chr1,76319821,76352760,-4.418535821880276
chr1,116093814,116113186,-3.8389300155369055
chr1,148535511,148611276,-1.8658106409542534
chr1,162082259,162166610,-3.4720228742799275
chr1,248183779,248276750,-4.61598763332578
chr1,178313378,178363814,-1.75268056836834
chr1,40075572,40136613,-1.8435388920749218
chr1,99359818,99459780,-1.5709102900349614
chr1,156167576,156223046,-1.9226011027767687
chr1,230574840,230604097,-3.1629945988898935
chr1,226133081,226159629,-3.445648332586657
chr1,192375378,192434569,-1.5734117481333632
chr1,69980291,70064790,-1.5096463162176224
chr1,224052285,224123228,-1.6670358977624224
chr1,60741595,60785948,-2.9940211855557335
chr1,141741186,141766106,-4.63001721954714
chr1,144495372,144511534,-3.547972578949797
chr1,182811784,182813735,-5.1687933786068125
chr1,207010809,207091271,-2.2508946187755616
chr1,238625579,238660698,-4.672796292668822
chr1,193492389,193493411,-6.413511801928292
chr1,11212414,11294292,-1.4733531882587725
